Title,Description,Url,Started On,Finished On
Sands Investment Group,"I was originally hired to create a script that would generate a PDF file of Listings downloaded from the website. This was completed successfully, but I was then later asked to help complete the website as the client's original programmer left the project.  Originally I simply made improvements to the site by allowing the user listing to be easily updated and tweaking various pages, but later they hired a designer to redesign parts of the site, and I made sure my implementations were still working during this process.  Eventually, the client decided to go with an entirely new theme. Because of this, I had to completely rewrite the Listing page's scripts manually, instead of using the custom plugin their previous programmer had before.  I recreated the plugin features using skills I had learned from working with a different client. The Listings page uses jQuery to load new data via AJAX and insert it onto the page. As you toggle the various search settings the listings are constantly revising the list. In addition, as you scroll down more listings will load automatically, which is a feature I'm very proud of.  Later I was asked to improve the process of downloading files on individual listings. I took the plugin that I used originally and completely rewrote it to improve the listings in the backend and add more features to export contacts.",http://signnn.com,Jul 2014,Mar 2015
Real Chords Website,"Real Chords is an app for iPhone with a companion app, Real Chords Pro, for iPad. Appster developed the Real Chords app for a client and hired me to handle development of the website, based on Wordpress. The website was built up from a PSD using my wrapper Wordpress theme jrBlog as the basis. There are four main pages, the homepage, separate iPhone and iPad manuals, and also the Blog page. The manuals had specific styling to line up all the text properly on each example, while the homepage used jQuery for the image and video galleries.  Support for RealChords ended in 2020 and I shut down the website as requested.",http://www.realchords.com.au/,Sep 2013,Sep 2014
Millennium Marketing Denver Updates,"On the Millennium Marketing website I did a number of enhancements. I added in all the contact forms and styled them. I added the Connect With Us! section in the footer. I updated the copyrights in the footer to the. I also updated the images on other pages, in some cases moving the images from the sidebar into the content, and I created the Reputation Marketing and Contact Us pages. I created all of these updates by creating a plugin to update the content in Genesis Framework.",http://www.millenniummarketingdenver.com/,Sep 2013,Sep 2013
"Express Roofing, Inc.","Express Roofing is another website I did for SEO Strong, for the same company as Extreme Developers. Unlike Extreme Developers, though, Express Roofing was built from a PSD rather than an old website. Like Extreme Developers a lot of the content is widget-based and is separated into different pages using Dynamic Widgets.",http://www.expressroofinginc.com/,Jul 2013,Jul 2013
"Extreme Developers, Inc.","Extreme Developers, Inc. is a website I built for SEO Strong based on an old flash website. The layout and style is based mostly on the prior Extreme Dev website, converted from flash. Its all Wordpress, with the slider run on the Meta Slider plugin. Dynamic Widgets is used to control how widget content is differentiated on separate pages.",http://www.extremedevelopersinc.com/,Jun 2013,Jun 2013
Abundance Campaign,"I helped do some development work on Piranha Media's Abundance Campaign for Yazamo. While I did not do the whole Abundance project, I did work on a number of landing pages for the Abundance campaign and did several variants. I also made quite a few pages on Abundance responsive as well.",http://www.abundancethebook.com/ab,May 2013,Jun 2013
Packard Grill,"Packard Grill is another website I developed for Dominate Net. Packard Grill is a bar and grill located in Detroit, MI and the website is based on the WP Adora theme. I created a child theme for WP Adora to make most of the design updates and enhancements on the website. I also ended up having to go through and fill out all the menus for the company in the backend.",http://www.packardgrill.net/,May 2013,May 2013
25kGroup Magazine Lander,"Another project I did for Yazamo and Piranha Media was the Yellow Magazine Landing Page. These landing pages were designed to be based on two magazines that provided information on the 25kGroup. I did the web pages for the Yellow version of the landing pages, which consists of the Homepage, Order Page, Thank You Page, and Content page. Additional pages were added later as well. As per usual I developed the pages based on a PSD provided.",http://www.25kgroup.com/MySuccess1/,Apr 2013,Apr 2013
BioDental Veneers Landing Page,"For SEO Strong I did quite a bit of work on the website here and there, but the Veneers Landing Page I did completely based on a PSD file. The layout was quite complicated and required specific styles to lay out each section.",http://mybiodental.com/veneers-special,Mar 2013,Mar 2013
Genius Network Mastermind,"I finalized the Genius Network Mastermind website for Yazamo and Piranha Media. Parts of the designs were already done, but I made some fixes to the existing pages, and completing re-styled the Case Studies page. I also fixed the dropdowns and updated the Resources page. The site has since been completely revamped again.",http://www.geniusnetworkmastermind.com/25k/,Mar 2013,Mar 2013
Center for the Partially Sighted,"CPS, Center for the Partially Sighted, is a website that I finished up and finalized for KloutFire. I originally took the website from a dev site and transferred it to replace the old CPS website. I later went in and made additional fixes and updates to the website by fixing up the theme so that blog posts wouldn't interfere with content on the homepage as the original designers of the theme didn't do the best job of it.  I also fixed the Font changer, reorganized the content in the footer, and updated the content on other pages to be based on regular Wordpress pages instead of being directly placed in Page Templates as it had been before.",http://www.low-vision.org/,Mar 2013,Mar 2013
Mangat Plastic Surgery,"Mangat Plastic Surgery is another website I worked on for KloutFire. The website is quite detailed and contains some complex designs. One of the parts I'm most impressed by with this site is the setup of the tabs in front of the logo.  The tabs are separated into the images themselves and the links, which are both separate widget areas. The links are generated using a Custom Menu widget, and the images are a series of Image Widgets (using the ""Image Widget"" plugin).  The website has since been redesigned and does not contain any element that I previously worked on.",http://www.mangatplasticsurgery.com,Feb 2013,Feb 2013
Joe Polish Press Page,"I developed and finalized the Press Page for JoePolish.com for Yazamo. The page is Wordpress-based, designed using a Page Template and inserted post content.",http://www.joepolish.com/2012/press,Feb 2013,Feb 2013
Restyle Kitchen and Bath,"I converted an ASP website to Wordpress called Restyle Kitchen and Bath for Lead Optimize. The website was already up online before, but by remaking it into a Wordpress website I enabled much of the content on the website to be more easily editable than it was before.  The website has since gone defunct.",http://restylekitchenandbath.com/,Jan 2013,Jan 2013
KloutFire Website,"I created the initial KloutFire website at the beginning of 2013. Unlike my prior projects for KloutFire, I did not finish an existing website but created the website using a Wordpress theme instead called November. I configured much of the initial website, but did not make many changes to the website over the next several months; the KloutFire staff primarily maintained the website themselves and I only stepped in to make minor fixes here and there.  Kloutfire appears to now be defunct.",http://www.kloutfire.com,Jan 2013,Jan 2013
My Choice Energy,"Easily the most complicated website I had to deal with for My Choice Energy, this website required was a redesign of an existing website but also contained a complex process to automatically submit client's registrations and renewals automatically. The main website and initial form processes were completed in 2012, but I was later informed of additional processes that needed to be added to it later, which was finally fully completed in February 2013 due to other contractual obligations I had received while waiting for the final information on the website form processes required.",http://www.fostermychoice.com/,Nov 2012,Feb 2013
Tansavatdi Plastic Surgery,"I finished off the initial Tansavatdi Plastic Surgery website for KloutFire late 2012. The basic site was already mostly done, but I put together the finishing touches and continued to make many additional updates to the website throughout the year.  The website has since mostly been completely redesigned.",http://www.facesbydrt.com,Dec 2012,Jul 2013
Raffle Consulting,"I finished the website Raffle Consulting as my first project for KloutFire late 2012. I made many additional updates and fixes to the site as well, though I did not start the website myself.  The site layout was eventually completely changed and my work no longer appears to be present on the site.",http://www.raffleconsulting.com,Nov 2012,Nov 2012
Washington Dental,Washington Dental is the first website I did for SEO Strong. The website was converted from a PSD to Wordpress and the theme was based on TwentyTwelve.  The theme I created is currently no longer in use.,http://www.washington-dental.com/,Oct 2012,Oct 2012
Fort Collins Roofing Consultants,"Created a custom Wordpress Theme for a website, then added all the pages and images for the website. The theme was based on Wordpress' Twenty Eleven theme with updates to the base layout and images.",http://www.fortcollinsroofingconsultants.com/,Oct 2012,Oct 2012
PeteMamos.com,"I finalized the Pete Mamos, Stage Hypnotist website. I added in the homepage setup, created the archives, and filled in all the archives from the old website. I also made additional touch ups to the site and put the website up live. My work was primarily on the Home, Hypnosis, and Schedule pages, and finalizing these three pages was the finishing touches to the website.",http://www.petemamos.com/,Sep 2012,Sep 2012
Home Solution Properties,"Home Solution Properties is the first website I completed in its entirety for a client on oDesk. The design of the website was based on another website which I recreated. The website is built on a basic custom PHP layout rather than Wordpress.  Had I done the website a few months later, I would've made it Wordpress instead. It was also the first time I ever used Curl for anything. I created a script run on Curl to send the form data to a separate site.",http://homesolutionproperties.com/,May 2011,May 2011
Equilibrio Nicaragua,"Equilibrio Nicaragua is a website I worked on for a short few months. I did a lot of updates to the site during that time, though. I created several new pages, added rounded borders on all the website's images, and updating the image slider.",http://www.equilibrionicaragua.com/,Sep 2011,Nov 2011
Freight Access CRM,"I created the original Freight Access CRM, built on Codeigniter framework, back in Fall 2010 as one of my earliest web development projects. The initial CRM was developed for a few months while I was still in college and I didn't have full time to work on it. I continued to develop the CRM for some time and much of my months that don't seem to have much work in them, I actually spent working on the FA CRM.  While I did work on it for some time, the scope of the project was just too big for me to handle, but it is where I got a lot of experience developing websites and web applications before I started getting other jobs though oDesk.",,Aug 2010,Oct 2012
