Company Name,Title,Description,Location,Started On,Finished On
TrailerCentral,Software Engineer III,"In my role as Systems Engineer III at LeadVenture (TrailerCentral), I led CRM and marketing team initiatives, driving system integrations and enhancing campaign performance. In this phase of my professional career arc, I developed robust backend systems that improved platform functionality, reliability, and user experience, while engineering web scraping solutions to automate data collection and support business intelligence. I also designed and deployed Chrome extensions to streamline workflow efficiency and system interoperability.  Below are my Key Contributions in this role:     • Implemented Twilio-based Click-to-Call functionality and call forwarding on TrailerTrader, restoring Amazon SES campaigns, preventing email bounces, and eliminating repeat account blocks through parallel execution.     • Diagnosed and resolved Craigslist Autoposter and Scheduler failures by redesigning iframe-based payment handling in Laravel Dusk and Chrome Extension, restoring dealer posting capabilities faster than external vendors.     • Architected and deployed a Twilio call-forwarding and lead-tracking system using Laravel, REST APIs, webhooks, XML, queues, and cron jobs, improving call attribution, lead capture, and dealer notification accuracy.","Park Falls, WI",Mar 2024,Jan 2026
TrailerCentral,Lead Developer,"During my tenure as Lead Developer at TrailerCentral, I led the CRM and Marketing teams, driving strategic initiatives, delegating tasks, and performing QA validation to optimize system performance and elevate team efficiency. In this phase of my professional career arc, I enhanced backend systems through web scraping, Chrome extension development, and minor mobile app features to support data operations and streamline user workflows.  Below are my Key Contributions in this role:     • Migrated legacy Zend Framework CRM into modern Nuxt.js/Vue dashboard with Laravel API backend, improving scalability, maintainability, and overall platform performance.     • Preserved Mosaico Email Template Builder functionality during dashboard migration by implementing Nuxt-compatible integration, ensuring uninterrupted campaign and blast operations.     • Restored automated CRM and dealer website texting reliability by implementing Twilio compliance solutions, including dealer-level number verification, opt-in workflows, and delivery status monitoring.     • Spearheaded cross-team hackathon project converting Nuxt.js/Vue dashboard into an Ionic mobile app with full CRM functionality and push notifications, earning second-place recognition for technical execution.","Park Falls, WI",Sep 2022,Mar 2024
TrailerCentral,Web Programmer,"As Web Developer at TrailerCentral, I focused on building robust frontend and backend systems to support platform functionality, enhance user experience, and maintain system reliability. In this phase of my professional career arc, I designed and implemented Chrome extensions to streamline workflow automation and improve platform interoperability, while contributing to minor mobile app features to broaden platform accessibility.  Below are my Key Contributions in this role:     • Delivered the first full draft of TrailerTrader, establishing a functional baseline for iterative development and future enhancements.     • Engineered web scraping and automation solutions for Marketing Autoposters on HTW and Craigslist, increasing data collection efficiency and operational throughput.     • Expanded mobile development exposure and improved application stability through incremental enhancements to the Android TrailerCentral Camera App using Java and Android Studio.","Clayton, WI",Mar 2016,Sep 2022
oDesk (now Upwork),Web Development,"While functioning as Web Developer at oDesk (now Upwork), I developed and programmed websites for diverse clients, enhancing functionality, user experience, and responsiveness to drive client satisfaction. In this phase of my professional career arc, I maintained and structured databases to ensure data integrity, optimize queries for performance, and support seamless, high-performing application operations.  Below are my Key Contributions in this role:     • Managed and optimized CMS platforms, streamlining content updates and improving site performance.     • Executed website migrations, preserving content, maintaining functionality, and ensuring minimal downtime across platforms.",,Apr 2011,Mar 2016
Ponticlaro,Web Developer,,"Clayton, WI",Dec 2013,Sep 2015
Lead Optimize,Web Developer,,Online,Aug 2012,Jan 2015
Appster,Web Developer,,,Apr 2011,Mar 2014
Millennium Marketing Solutions LLC,Web Developer,,,Sep 2012,Feb 2014
KloutFire,Web Developer,,,Dec 2012,Sep 2013
Yazamo,Web Developer,,,Jan 2013,Aug 2013
SeoStrong,Web Development Freelancer,,"Mukwonago, WI",Oct 2012,Aug 2013
Dominate Net,Web Development Freelancer,,"Mukwonago, WI",Nov 2012,May 2013
"Freight Access, Inc.",Web Application Developer,,"East Troy, WI",Aug 2010,Oct 2012
Catalyst R.O.I.,Wordpress Developer,,"East Troy, WI",Sep 2011,Feb 2012
Alpine Valley Music Theatre,Parking Attendant,,"East Troy, WI",Jun 2009,Aug 2010
Wal-Mart,Inventory Associate,,"Burlington, WI",Oct 2009,May 2010
